pt,comparator,a_dato_cases,b_dato_without_pt,c_comparator_cases,d_comparator_without_pt,n_dato,n_comparator,ror,ror_ci_lower,ror_ci_upper,prr,chi2_yates,ic,ic025,expected_count,ebgm,eb05,ror_signal,prr_signal,bcpnn_signal,mgps_signal,consensus_signal
Anuria,full_faers_excluding_all_dato,1,195,541,1809178,196,1809719,17.14941940376321,2.3992077087902337,122.58321145294555,17.067024406805235,3.319392969627661,1.4248310575329377,-3.007107630304506,0.05869446907727711,10.240328152480497,1.0305404534855067,False,False,False,False,False
Coronavirus infection,full_faers_excluding_all_dato,1,195,555,1809164,196,1809719,16.716692076692077,2.3387755535402523,119.48465664605301,16.636504872219156,3.213641103901298,1.4209214109436494,-3.0066455603657554,0.06021056237447615,9.987246811905289,1.0050714884678262,False,False,False,False,False
Aphthous ulcer,full_faers_excluding_all_dato,2,194,1167,1808552,196,1809719,15.976748911209462,3.9625895853566435,64.41658927159854,15.823924942727734,14.911222105215218,1.9963257174237703,-1.9985501879227594,0.1265937903161198,12.374298975143141,2.957235720755112,False,False,False,False,False
Metastases to liver,full_faers_excluding_all_dato,3,193,1838,1807881,196,1809719,15.289323831377878,4.88353984851432,47.86761866842462,15.070609691101685,26.57861199098063,2.323234802441354,-1.3804679554337094,0.19936626858167372,12.823553974915944,4.2199754225348745,True,True,False,True,False
Meningitis,full_faers_excluding_all_dato,1,195,624,1809095,196,1809719,14.867644641683103,2.080486414768676,106.2476811298697,14.796891352694923,2.7626398826844465,1.4018057264113717,-3.004494532618029,0.06768273648209999,8.9028319006179,0.8959408612257825,False,False,False,False,False
Breast pain,full_faers_excluding_all_dato,1,195,656,1809063,196,1809719,14.142143527204503,1.9791153774371764,101.05536333260126,14.075091774514682,2.5861644740995464,1.393025726125706,-3.003566543958504,0.0711480925899835,8.47601435015731,0.8529878673902598,False,False,False,False,False
Erythema multiforme,full_faers_excluding_all_dato,1,195,689,1809030,196,1809719,13.464552863682036,1.884424666733307,96.20664971084551,13.40095820621427,2.421653553628297,1.3840269698742085,-3.0026544644542583,0.07472174107623838,8.076702548351752,0.812802928080953,False,False,False,False,False
Incorrect drug administration rate,full_faers_excluding_all_dato,1,195,711,1809008,196,1809719,13.047769483212521,1.8261740676151847,93.22456796759538,12.986301271563477,2.320634937729003,1.3780588315335347,-3.002071290826314,0.0771041734004083,7.8307603026392,0.7880524093813676,False,False,False,False,False
Pelvic fracture,full_faers_excluding_all_dato,1,195,748,1808971,196,1809719,12.40210475798711,1.7359243927614083,88.60535808440997,12.34393075411983,2.1644373288063434,1.368076852891609,-3.001134538557511,0.08111099140014863,7.44926306301054,0.7496602472869182,False,False,False,False,False
Oral pain,full_faers_excluding_all_dato,2,194,1527,1808192,196,1809719,12.20769786455485,3.0286238574506483,49.206469395543095,12.093333600630821,10.764513446451684,1.9092461738788986,-1.9909582148765395,0.1655790465298094,9.480621764563255,2.2656987190509112,False,False,False,False,False
Metastases to central nervous system,full_faers_excluding_all_dato,2,194,1539,1808180,196,1809719,12.112430752329468,3.0050100576877417,48.822125687947256,11.999038601795492,10.659966918582725,1.9064321329382108,-1.990770027015527,0.16687855507026572,9.407293246759078,2.248174517264925,False,False,False,False,False
Intraocular pressure increased,full_faers_excluding_all_dato,1,195,813,1808906,196,1809719,11.410136562904091,1.597245227600149,81.50984841553243,11.35702362125662,1.9252992922119927,1.3507064628586225,-2.9996192823995393,0.08814999599428702,6.861978662521348,0.6905585931804044,False,False,False,False,False
Disseminated intravascular coagulation,full_faers_excluding_all_dato,1,195,904,1808815,196,1809719,10.261033582936237,1.4365620802705275,73.2922103654008,10.213783411594726,1.6499087876312373,1.3267340077207044,-2.997766334779751,0.09800460242608078,6.179885609987727,0.6219158238071354,False,False,False,False,False
Oral discomfort,full_faers_excluding_all_dato,1,195,969,1808750,196,1809719,9.572384959381864,1.3402472637525575,68.36839461551575,9.528648301425832,1.4859647927358173,1.3098514708003548,-2.996626113320636,0.10504360702021918,5.770194377219375,0.5806863453647024,False,False,False,False,False
Compression fracture,full_faers_excluding_all_dato,1,195,985,1808734,196,1809719,9.416811141481192,1.3184866803848063,67.25614554440834,9.373868227494043,1.4490664055639648,1.3057258944574608,-2.99636807141028,0.10677628507416094,5.677544802536603,0.5713625099087365,False,False,False,False,False
Intestinal perforation,full_faers_excluding_all_dato,1,195,1011,1808708,196,1809719,9.174506074209338,1.2845933132361362,65.52389837189777,9.132799410565411,1.3917114409707647,1.2990468935482447,-2.9959674141782937,0.1095918869118163,5.5331735759311655,0.5568336406068102,False,False,False,False,False
Candida infection,full_faers_excluding_all_dato,2,194,2064,1807655,196,1809719,9.028884959641973,2.240513979062507,36.384849358788465,8.946957562094605,7.289513995179395,1.788400520540962,-1.9860277014761007,0.22373205371522972,7.028826979196514,1.6797636989085867,False,False,False,False,False
Posterior reversible encephalopathy syndrome,full_faers_excluding_all_dato,1,195,1045,1808674,196,1809719,8.875838547417494,1.2428136471558313,63.38883556686947,8.835655697685771,1.3212215515979582,1.2903592121218763,-2.995477814330762,0.11327382777644254,5.355102479942511,0.5389133683967484,False,False,False,False,False
Inappropriate antidiuretic hormone secretion,full_faers_excluding_all_dato,1,195,1045,1808674,196,1809719,8.875838547417494,1.2428136471558313,63.38883556686947,8.835655697685771,1.3212215515979582,1.2903592121218763,-2.995477814330762,0.11327382777644254,5.355102479942511,0.5389133683967484,False,False,False,False,False
Osteomyelitis,full_faers_excluding_all_dato,1,195,1099,1808620,196,1809719,8.43946711462635,1.1817662874944013,60.26962008695568,8.401510649755807,1.2186896866554928,1.2766677647358071,-2.9947784076527233,0.11912161620849598,5.094695733016096,0.5127072075128095,False,False,False,False,False
Ascites,full_faers_excluding_all_dato,2,194,2262,1807457,196,1809719,8.237655755785866,2.0442902703798427,33.19439187969298,8.163802125624786,6.431071945209787,1.746278959142886,-1.985799502397372,0.245173944632759,6.4169464724128575,1.5335352220365517,False,False,False,False,False
Pneumocystis jirovecii pneumonia,full_faers_excluding_all_dato,1,195,1170,1808549,196,1809719,7.927017313171159,1.1100685758786788,56.60695640679316,7.891675388103959,1.0990879460585574,1.2588615358645696,-2.994000337614502,0.12681037507286252,4.788533534376788,0.4818964242715082,False,False,False,False,False
Hepatic function abnormal,full_faers_excluding_all_dato,3,193,3660,1806059,196,1809719,7.670343158073558,2.4510899959928656,24.003265591549127,7.568246068919372,11.176474618594463,1.964697871114947,-1.382190617989382,0.39667498197429163,6.463225742375969,2.1269184686611102,True,True,False,True,False
Cerebral haemorrhage,full_faers_excluding_all_dato,2,194,2522,1807197,196,1809719,7.387350082163558,1.833390106420131,29.766137084158704,7.322173040508828,5.513423704512425,1.6927720777906017,-1.9865946793468798,0.2733299630093126,5.758662135832417,1.3762170613504638,False,False,False,False,False
Bacteraemia,full_faers_excluding_all_dato,1,195,1269,1808450,196,1809719,7.308197450041422,1.0234781357899787,52.18455392558752,7.276012769173863,0.9560734075961779,1.2343943754163267,-2.993172257846167,0.13753132053162717,4.418308172700149,0.44463861315129904,False,False,False,False,False
Metastases to lung,full_faers_excluding_all_dato,1,195,1286,1808433,196,1809719,7.211520516808231,1.0099492731112034,51.49370324723208,7.179829085600025,0.9338942675274496,1.2302343734718326,-2.9930590738950285,0.1393722909639403,4.3604179160343515,0.43881279873710843,False,False,False,False,False
Paraesthesia oral,full_faers_excluding_all_dato,1,195,1307,1808412,196,1809719,7.095568242010476,0.9937226772119045,50.66513005246781,7.064468404041035,0.9073583450253934,1.2251120535358326,-2.992930688862373,0.14164643090973886,4.290967465734804,0.431823618558431,False,False,False,False,False
Faeces soft,full_faers_excluding_all_dato,1,195,1340,1808379,196,1809719,6.920700344431688,0.9692505604269417,49.415595113320634,6.890492689613158,0.8674817043330256,1.2170992594177106,-2.992754118106234,0.14522007939599374,4.186191731894398,0.4212794611194906,False,False,False,False,False
Melaena,full_faers_excluding_all_dato,1,195,1374,1808345,196,1809719,6.7493188519389395,0.9452654786288092,48.19101722747504,6.7199855924902705,0.8285775553060112,1.2088899379625044,-2.9926038400588535,0.14890202026061997,4.08346134688642,0.4109411383649392,False,False,False,False,False
Oral candidiasis,full_faers_excluding_all_dato,1,195,1494,1808225,196,1809719,6.206792983901417,0.8693325091200136,44.31478029506141,6.18022771357539,0.706748025305702,1.1802836333859188,-2.992321133045129,0.16189710566518317,3.757972765459664,0.37818543509905966,False,False,False,False,False
Underdose,full_faers_excluding_all_dato,4,192,6426,1803293,196,1809719,5.84634363004461,2.1713689512512993,15.741099098274548,5.747438658002883,11.33028156802236,1.9113216667031117,-0.9973711744641258,0.6963199929278446,5.113975822732564,2.004993771127749,True,True,False,True,False
Lacrimation increased,full_faers_excluding_all_dato,2,194,3425,1806294,196,1809719,5.436959891639702,1.3495373589173232,21.90419751477942,5.391684790704603,3.440766860113392,1.520988064965275,-1.9971193315794218,0.37111798067865065,4.24590353657024,1.0146948631553274,False,False,False,False,False
Pain of skin,full_faers_excluding_all_dato,1,195,1746,1807973,196,1809719,5.310227039093019,0.7438283871673502,37.909969145033955,5.288236084811931,0.5111808641902931,1.1219955570991202,-2.9928914959357145,0.18918678501476588,3.219126745289145,0.32395840118795627,False,False,False,False,False
Ocular discomfort,full_faers_excluding_all_dato,1,195,1762,1807957,196,1809719,5.261960476148898,0.737071209517801,37.56520088563361,5.240215779842016,0.5009142519145752,1.118373042741685,-2.9929771859202265,0.19091946306870763,3.1900843349314894,0.32103570395651637,False,False,False,False,False
Wound infection,full_faers_excluding_all_dato,1,195,1859,1807860,196,1809719,4.987131211983283,0.6985946071354436,35.60216106952535,4.9667887057996944,0.44309111636170195,1.0966041632325259,-2.9936147780897984,0.20142382377072957,3.0246515132650127,0.3043872906905546,False,False,False,False,False
Hypocalcaemia,full_faers_excluding_all_dato,1,195,1879,1807840,196,1809719,4.933993804669696,0.6911550154449295,35.22262635806434,4.913922407707096,0.432045318804711,1.0921562913355882,-2.9937708398764724,0.20358967133815675,2.99265268383976,0.3011670727741085,False,False,False,False,False
Hepatic failure,full_faers_excluding_all_dato,1,195,2110,1807609,196,1809719,4.3932652813221535,0.6154446781294064,31.36070636069803,4.375952703356224,0.3226047476065892,1.0417532828162175,-2.9961453772241873,0.22860521074194093,2.6667933972756948,0.26837406341465225,False,False,False,False,False
No adverse event,full_faers_excluding_all_dato,9,187,19649,1790070,196,1809719,4.384604896141181,2.2458437133492,8.560150459711004,4.229189365195923,19.27939974466123,1.8535167761901947,-0.11708197465072101,2.1288115740241946,4.018901178208468,2.2231238631667605,True,True,False,True,False
Throat tightness,full_faers_excluding_all_dato,1,195,2149,1807570,196,1809719,4.313443342759304,0.6042676445734786,30.790649868945785,4.29653801958196,0.3069776629712001,1.0334147606420527,-2.996644814150085,0.23282861349842396,2.6186535773327697,0.2635294889893029,False,False,False,False,False
Pleural effusion,full_faers_excluding_all_dato,2,194,4430,1805289,196,1809719,4.20117986549068,1.0428929021055633,16.9239930836328,4.168514764822407,2.1734794341936117,1.3511453685028765,-2.0189707081068895,0.47995182094186745,3.2853732562058577,0.7851453378313994,False,False,False,False,False
Neutrophil count decreased,full_faers_excluding_all_dato,2,194,4490,1805229,196,1809719,4.1449016141253185,1.0289267745659239,16.69721287797816,4.112810781328121,2.1172858912940433,1.3416111932550991,-2.020521799947545,0.48644936364414904,3.2415923720797717,0.7746824910322411,False,False,False,False,False
Pneumonia aspiration,full_faers_excluding_all_dato,1,195,2250,1807469,196,1809719,4.119587464387465,0.5771222739199553,29.40624828334412,4.103671201814058,0.26970384753145576,1.0120415177415638,-2.9980619047515025,0.24376614371393132,2.501701652862248,0.2517599746255801,False,False,False,False,False
Conjunctivitis,full_faers_excluding_all_dato,1,195,2256,1807463,196,1809719,4.10861747590471,0.5755861284621678,29.32790894111885,4.092757182660298,0.26762529945794633,1.0107817292254362,-2.998151557872059,0.24441589798415947,2.4950818661044836,0.25109378913369507,False,False,False,False,False
Mucosal inflammation,full_faers_excluding_all_dato,1,195,2391,1807328,196,1809719,3.876348271831333,0.5430602581239412,27.66926082280246,3.8616730255464793,0.22447548323279828,0.982723482583349,-3.000324051967684,0.2590353690642931,2.3548781750738104,0.23698432182135182,False,False,False,False,False
Lip swelling,full_faers_excluding_all_dato,1,195,2536,1807183,196,1809719,3.6544184259483945,0.5119807755151534,26.084522448081394,3.6408754747955965,0.18497568467586561,0.9531825312885988,-3.0029723594065527,0.27473776392814026,2.220840685246961,0.2234953931958799,False,False,False,False,False
Cardiac failure congestive,full_faers_excluding_all_dato,1,195,2570,1807149,196,1809719,3.606004190362167,0.5052005597752806,25.738819898959573,3.592708250615421,0.17661463805050795,0.9463423648741394,-3.0036379767811217,0.2784197047927665,2.1915905302765277,0.22055178948329282,False,False,False,False,False
Glossodynia,full_faers_excluding_all_dato,1,195,2621,1807098,196,1809719,3.5357379743491912,0.49535994052710525,25.237089236469792,3.5228005357045524,0.16465855250207628,0.9361425414118102,-3.0046669264101005,0.2839426160897059,2.1491319847203907,0.2162789528963952,False,False,False,False,False
Dysarthria,full_faers_excluding_all_dato,1,195,2680,1807039,196,1809719,3.4577860696517413,0.48444278813695973,24.680488173760153,3.445246344806579,0.15165648174795032,0.9244320163783158,-3.0059018362474554,0.29033186641361614,2.1020207451640807,0.21153789016347252,False,False,False,False,False
Blister,full_faers_excluding_all_dato,2,194,5639,1804080,196,1809719,3.298237788011693,0.8188029047743194,13.285703363823055,3.2747863820115737,1.2982912207601556,1.1702286114037068,-2.0540601126542537,0.6108773063928417,2.582545177211715,0.617182020885024,False,False,False,False,False
Therapeutic response unexpected,full_faers_excluding_all_dato,1,195,2840,1806879,196,1809719,3.2626923076923076,0.4571191507474514,23.28749753159167,3.2511479591836734,0.12044963359112319,0.8931449219421945,-3.0094802466383483,0.3076586469530337,1.9840736616498067,0.1996682274805779,False,False,False,False,False
Skin irritation,full_faers_excluding_all_dato,1,195,2843,1806876,196,1809719,3.259244027165237,0.4566361955984809,23.262876948880255,3.247717271924598,0.11991665395093228,0.8925647208971298,-3.009550422573669,0.3079835240881478,1.9819884382131674,0.19945837999580837,False,False,False,False,False
Ocular hyperaemia,full_faers_excluding_all_dato,2,194,5749,1803970,196,1809719,3.2349328345763406,0.8030909116115375,13.030642350591108,3.2121273974888265,1.2396400956907139,1.1548406586243956,-2.057584282757378,0.6227894680136913,2.5332383759299306,0.6053985789042245,False,False,False,False,False
Emotional disorder,full_faers_excluding_all_dato,1,195,2891,1806828,196,1809719,3.205044834100524,0.4490451837663184,22.875899263491785,3.193794605355113,0.11163100697034409,0.8833130982357564,-3.0106881011129447,0.31318155824997307,1.9492111013625737,0.1961598166022245,False,False,False,False,False
Inflammation,full_faers_excluding_all_dato,2,194,5981,1803738,196,1809719,3.1090515153656684,0.7718473205536032,12.52346295413001,3.087530581535406,1.1244385555084468,1.1229144133947415,-2.0651590184481217,0.6479132997958468,2.4351798755092817,0.581964354407942,False,False,False,False,False
Feeding disorder,full_faers_excluding_all_dato,1,195,2985,1806734,196,1809719,3.1039539578233044,0.4348864012272379,22.15413069964608,3.093219498854818,0.09666058481316364,0.8653654079491672,-3.012995093482404,0.3233610418168809,1.8880639998643265,0.1900062480086181,False,False,False,False,False
Pneumonitis,full_faers_excluding_all_dato,1,195,2988,1806731,196,1809719,3.100832389386606,0.4344491897261409,22.13184357215641,3.090113856787695,0.09620885243050054,0.8647962697898192,-3.013070401162702,0.323685918951995,1.8861756062455368,0.18981620858924694,False,False,False,False,False
Product prescribing issue,full_faers_excluding_all_dato,2,194,6253,1803466,196,1809719,2.973362064559527,0.7381687121435418,11.976776882467654,2.95322571696198,1.0026183722101394,1.0863617599685924,-2.0742629759557856,0.6773688267128567,2.32946262607649,0.556699826134411,False,False,False,False,False
Skin disorder,full_faers_excluding_all_dato,1,195,3152,1806567,196,1809719,2.9392278406872316,0.4118142244709297,20.97805220441278,2.9293338210918884,0.07376282232936515,0.8340201309814993,-3.017338404904157,0.34144586900489804,1.7883930514948976,0.17997581316292602,False,False,False,False,False
Chest discomfort,full_faers_excluding_all_dato,3,193,9582,1800137,196,1809719,2.920204982788324,0.9334290002743095,9.135774803435215,2.890814090194625,2.0704667418396823,1.186315884439623,-1.5492628798210484,1.0379824466894854,2.4743437474548324,0.8142570945298865,False,False,False,False,False
Oedema peripheral,full_faers_excluding_all_dato,2,194,7230,1802489,196,1809719,2.5701743879311576,0.6380920994961797,10.352418388494481,2.5541522002992068,0.6588116999084753,0.9622152371159569,-2.108548349791847,0.7831704803816754,2.015221353395411,0.48160179283371773,False,False,False,False,False
Hepatic enzyme increased,full_faers_excluding_all_dato,2,194,7332,1802387,196,1809719,2.534275678989432,0.6291812672247586,10.207794719392144,2.51861980471403,0.6298177130182451,0.9498493391091785,-2.1122425261441777,0.7942163029755541,1.987233983262712,0.4749133128759708,False,False,False,False,False
Alopecia,full_faers_excluding_all_dato,4,192,14848,1794871,196,1809719,2.518396136404454,0.9355083674094274,6.779542888985354,2.487408460151302,2.2434706672604308,1.0938048673400076,-1.2661240841317911,1.6083584035714384,2.2160802524413707,0.8688400681741975,False,False,False,False,False
