pt,a,b,c,d,n_pt_total,ror,ror_ci_lower,ror_ci_upper,ror_signal,prr,chi2,prr_signal,ic,ic025,expected_count,bcpnn_signal,ebgm,eb05,mgps_signal,consensus_signal,strict_signal,signal_category
Tumour marker increased,3,413,417,1809302,420,31.51709721810929,10.082200950239951,98.52287431665518,True,31.297021997786388,59.875453734554945,True,2.552704798828569,-1.4081655961842805,0.09652318749706514,False,26.08929157200012,8.578753250240794,True,False,False,Clinical AE
Pharyngeal paraesthesia,2,414,283,1809436,285,30.8877622437309,7.661512793781195,124.52551892880065,False,30.744071079097584,31.42992676723782,False,2.1443345811481023,-2.0195206958085072,0.06549787723015134,False,23.40170989902308,5.583635765899708,True,False,False,Clinical AE
Sialoadenitis,1,415,149,1809570,150,29.26449421848468,4.0855489601846,209.6194734685122,False,29.19655072276717,6.288582214854037,False,1.488774695411639,-3.01574189080649,0.03447256696323755,False,16.75718527008304,1.6766230889848854,False,False,False,Clinical AE
Metastases to pleura,1,415,150,1809569,151,29.06938152610442,4.058486872431453,208.21280661281554,False,29.001907051282053,6.240773090697169,False,1.4881544863164902,-3.015648323361103,0.034702384076325796,False,16.65195848558495,1.6660947303360076,False,False,False,Clinical AE
Troponin I increased,1,415,165,1809554,166,26.42649142022636,3.691685372815426,189.17090116233294,False,26.36537004662005,5.593089482845902,False,1.4788832035280597,-3.0142726873367067,0.038149640772649554,False,15.218490298737503,1.5226705322587477,False,False,False,Clinical AE
Catheter site infection,2,414,338,1809381,340,25.860860989623532,6.419707028168097,104.17673706762184,False,25.74133761948111,25.884222587238455,False,2.112442741523514,-2.0141246941237925,0.07813781845000511,False,19.70580071797848,4.7017937646167525,True,False,False,Clinical AE
Tongue discolouration,1,415,171,1809548,172,25.49916155851476,3.562880082311993,182.49484270189362,False,25.440269343229872,5.365815133561838,False,1.4751913089143964,-3.0137369201546416,0.03952854345117906,False,14.711906059474567,1.4719847626396434,False,False,False,Clinical AE
Eastern Cooperative Oncology Group performance status worsened,1,415,174,1809545,175,25.05947929649633,3.501789894863825,179.3304342823653,False,25.001644009725904,5.2580575469470245,False,1.473348898444817,-3.013472106851294,0.04021799479044381,False,14.47105405103376,1.4478865604731266,False,False,False,Clinical AE
Lung opacity,3,413,563,1809156,566,23.34204086547766,7.474864598075439,72.89106907781472,True,23.180920378467004,43.202164061481476,True,2.4737560466077197,-1.3959591165677474,0.1300764860079497,False,19.45620854863308,6.397644484263498,True,False,False,Clinical AE
Body height increased,1,415,200,1809519,201,21.80143373493976,3.04873622255232,155.9014877650055,False,21.75143028846154,4.459760608914984,False,1.4574791377251939,-3.0112614381187033,0.046193239730738314,False,12.672963327592713,1.2679804262136312,False,False,False,Clinical AE
Oral pain,7,409,1527,1808192,1534,20.26656931548348,9.58468583221147,42.85313457421151,True,19.942372235655633,107.3128663523797,True,3.1370520937387374,-0.09480392038118479,0.352539451477376,False,18.50280553619366,9.369140697459471,True,False,False,Clinical AE
Exfoliative rash,1,415,218,1809501,219,20.0011163921742,2.7981056803963607,142.96981695009896,False,19.955440631616092,4.018961224971167,False,1.446593756459018,-3.0098177300607913,0.05032994776632682,False,11.669156689363975,1.1675455763623674,False,False,False,Clinical AE
Leukoencephalopathy,1,415,219,1809500,220,19.909776090664025,2.7853843791504724,142.31399692895405,False,19.864319898138394,3.9966071285612084,False,1.4459914145343518,-3.009739563024187,0.05055976487941507,False,11.618031851592264,1.1624303328386418,False,False,False,Clinical AE
Ulcerative keratitis,1,415,242,1809477,243,18.017295628796177,2.521694366674118,128.73207239764966,False,17.976388668150033,3.533763702464911,False,1.4322065093605063,-3.0079998439623425,0.055845558480444826,False,10.554483379899434,1.0560180747442995,False,False,False,Clinical AE
Abnormal sensation in eye,1,415,254,1809465,255,17.165970970496158,2.403001488509988,122.62604112768607,False,17.127110463355546,3.3258028231822423,False,1.4250663342407934,-3.007135677337703,0.058603363837503836,False,10.073364199294726,1.0078801856087367,False,False,False,Clinical AE
Infusion site rash,1,415,263,1809456,264,16.578459846992533,2.321063432004735,118.41353713498296,False,16.541011626206494,3.1824031604791005,False,1.4197342983011647,-3.0065067492508777,0.06067171785529808,False,9.74035832990708,0.9745616228319918,False,False,False,Clinical AE
Performance status decreased,1,415,292,1809427,293,14.931729658359465,2.0912848150747267,106.61223616371207,False,14.898239923603795,2.781127046647817,False,1.4026861301440312,-3.004589664735002,0.06733641413485734,False,8.802691949930868,0.8807443690931002,False,False,False,Clinical AE
Oxygen therapy,1,415,294,1809425,295,14.830136874026719,2.07710337637932,105.88445534460627,False,14.796891352694924,2.7564091879983414,False,1.40151778710588,-3.004463501625245,0.06779604836103384,False,8.744635945647591,0.8749356347700796,False,False,False,Clinical AE
Oral candidiasis,5,411,1494,1808225,1499,14.724143939912123,6.087128108593125,35.61620700198445,True,14.55919028678818,50.179121887139004,True,2.703269375831983,-0.6015601646916018,0.3444958525192872,False,13.166587579070038,5.78113153487016,True,False,False,Clinical AE
Jaundice cholestatic,1,415,300,1809419,301,14.5334859437751,2.0356898767956624,103.75952451578173,False,14.500953525641027,2.684263058112827,False,1.398018424268004,-3.0040896193583277,0.06917495103956335,False,8.574973516684304,0.8579602334035411,False,False,False,Clinical AE
Pulmonary toxicity,3,413,940,1808779,943,13.977479264334656,4.481418499001604,43.595554985197396,True,13.88389167348609,24.074171559870603,True,2.2878783601274844,-1.378268241202873,0.21671753764222004,False,11.745297826041567,3.862121423348235,True,False,False,Clinical AE
Vein disorder,1,415,314,1809405,315,13.885388688512009,1.9451940779829537,99.11814004234631,False,13.85441419647232,2.5268143444966786,False,1.389886102586081,-3.003243841931665,0.07239239062279886,False,8.203588319187444,0.8208016660788655,False,False,False,Clinical AE
Osteonecrosis of jaw,3,413,1069,1808650,1072,12.2898909845367,3.941203231415703,38.32368227241647,True,12.20847350147514,20.632293554109584,True,2.2294037216628007,-1.3758004850854566,0.24636394523060434,False,10.342709702030199,3.400918504349649,True,False,False,Clinical AE
Amylase increased,1,415,387,1809332,388,11.265726471778587,1.579134432574298,80.37098699066047,False,11.241049244682966,1.893673748613015,False,1.3482089751255895,-2.999413376539956,0.08916903987824112,False,6.692258262697343,0.6695870780112609,False,False,False,Clinical AE
Mucosal inflammation,6,410,2391,1807328,2397,11.061774336689414,4.935715963372714,24.791307357205888,True,10.916652591448702,44.53303955160989,True,2.628853285184994,-0.34416543215286,0.550871620072536,False,10.056989288782862,4.788849703870298,True,False,False,Clinical AE
Atypical pneumonia,1,415,401,1809318,402,10.872325211068715,1.5241251738636972,77.55757697747443,False,10.848593660080567,1.799223124274418,False,1.340351882457243,-2.9987851384690756,0.09238647946147663,False,6.463880427989743,0.6467369665807488,False,False,False,Clinical AE
Cystitis haemorrhagic,1,415,417,1809302,418,10.455069197653925,1.4657696968510596,74.57411090061507,False,10.432340665928795,1.699290206967153,False,1.3314244342153636,-2.9981072308710184,0.09606355327088864,False,6.221246991588067,0.6224605254556945,False,False,False,Clinical AE
Vulvovaginal pruritus,1,415,423,1809296,424,10.30673616451622,1.4450218995573543,73.51363352865931,False,10.284364202582289,1.6638312528746702,False,1.3280908323299254,-2.997863867594633,0.09744245594941814,False,6.1348904159891315,0.6138202063208732,False,False,False,Clinical AE
Metastases to liver,4,412,1838,1807881,1842,9.549642393061264,3.5633323974711986,25.59280461740587,True,9.467434293127983,22.388952197258202,True,2.2850174805564385,-0.9455605692784093,0.4233231223085571,False,8.379921644240751,3.2838775830186995,True,False,False,Clinical AE
Discouragement,1,415,476,1809243,477,9.158869089804597,1.284419509457855,65.30956777477274,False,9.139256423723337,1.3908570831907061,False,1.2989738224163918,-2.995963147541241,0.1096227629430954,False,5.464822741005197,0.5467772682048755,False,False,False,Clinical AE
Circulatory collapse,2,414,986,1808733,988,8.861907281653291,2.205792413648062,35.60325993629505,False,8.824109650491497,7.141903199260698,False,1.7817831372119637,-1.9859415448926512,0.22705930773119132,False,6.888354484302811,1.643557784140998,False,False,False,Clinical AE
Pneumonitis,6,410,2988,1806731,2994,8.848716818493486,3.9490447134321727,19.82752665918487,True,8.735514172072907,33.71496767507376,True,2.4518169184351892,-0.3695606239409752,0.6880724365862214,False,8.057147160585735,3.8365822699091345,True,False,False,Clinical AE
Nasal discomfort,1,415,493,1809226,494,8.84296292675774,1.2402053766288847,63.052454696309205,False,8.824109650491497,1.3162591305586773,False,1.2897575199339686,-2.995445224276626,0.11352965386559566,False,5.279850509462398,0.5282700601489144,False,False,False,Clinical AE
Lung neoplasm malignant,4,412,2046,1807673,2050,8.577821750230143,3.201054377612857,22.98587193435678,True,8.504958079554854,19.49927185460167,True,2.2121959682286865,-0.9517210886440681,0.4711250818309132,False,7.5330735199067105,2.952019399877661,True,False,False,Clinical AE
Therapy change,3,413,1537,1808182,1540,8.545539327736652,2.74175879531597,26.63481650050766,True,8.49112438066163,13.027433191093145,True,2.035184881156982,-1.3777543403740644,0.3539183541559055,False,7.216345424121914,2.372898727096409,True,False,False,Clinical AE
Metastases to central nervous system,3,413,1539,1808180,1542,8.534424573675242,2.738196639068407,26.6001359305343,True,8.480089781076623,13.004978339501239,True,2.0344085380621486,-1.3777926167990446,0.354377988382082,False,7.207035501988079,2.3698374126661297,True,False,False,Clinical AE
Psychiatric symptom,1,415,522,1809197,523,8.351553339795965,1.1714153787158557,59.542024507069144,False,8.333881336575303,1.2007818257170755,False,1.2741702122808367,-2.994660322786116,0.12019435014515492,False,4.991631858657128,0.4994326368688296,False,False,False,Clinical AE
Anuria,1,415,541,1809178,542,8.058160924659822,1.1303375935793296,57.446516736733855,False,8.041194191667852,1.1322107758295858,False,1.2640483989485378,-2.9942116799976226,0.12456087529383167,False,4.819271476255084,0.4821872945214212,False,False,False,Clinical AE
Coronavirus infection,1,415,555,1809164,556,7.854831216758928,1.1018662887152375,55.994428793814976,False,7.8383532571032575,1.0848743054780488,False,1.25663540032921,-2.9939134822413083,0.12777831487706717,False,4.699696810071385,0.47022337319752344,False,False,False,Clinical AE
Aphthous ulcer,2,414,1167,1808552,1169,7.486689103320376,1.8638956696934605,30.071701244412584,False,7.455503098015952,5.6486173756550855,False,1.701517717668984,-1.9863824775720549,0.26865620520016464,False,5.829281241641636,1.3908634612925135,False,False,False,Clinical AE
Central nervous system lesion,1,415,592,1809127,593,7.363753663301856,1.033092289342223,52.48792249559508,False,7.348456178534304,0.9712605017592097,False,1.2372253110555116,-2.9932538581075576,0.13628154806133244,False,4.410483875117757,0.44128646783060366,False,False,False,Clinical AE
Meningitis,1,415,624,1809095,625,6.986001699104109,0.9801788994038517,49.79113483219073,False,6.971612271942801,0.8846588116193866,False,1.220646256258328,-2.992828632766,0.14363569568015644,False,4.187608445833903,0.418986893965304,False,False,False,Clinical AE
Infusion site extravasation,1,415,638,1809081,639,6.8326509800959325,0.9586958255179305,48.6964876378642,False,6.818630184470702,0.8497294003858131,False,1.213452402832195,-2.992683538475904,0.14685313526339197,False,4.09703034877318,0.409924194804279,False,False,False,Clinical AE
Metastases to lung,2,414,1286,1808433,1288,6.793461356413551,1.691494083147782,27.28423212406361,False,6.765608176815409,4.901855371516804,False,1.6510797088304103,-1.988043457632455,0.29600444165766643,False,5.294133404423139,1.2631774666865458,False,False,False,Clinical AE
Peritonitis bacterial,1,415,645,1809074,646,6.758472027645466,0.9483034825120301,48.16701086815504,False,6.744629546809779,0.8328846701785227,False,1.209868883338977,-2.9926201355806183,0.14846185505500972,False,4.053194983862267,0.4055382920563439,False,False,False,Clinical AE
Breast pain,1,415,656,1809063,657,6.645103585071995,0.9324200913231184,47.35784017017121,False,6.631533624530957,0.8072087769275744,False,1.2042555608758254,-2.992532659330153,0.15098984329898046,False,3.9861746763545334,0.398832643512913,False,False,False,Clinical AE
Metastasis,1,415,677,1809042,678,6.43890302717517,0.9035284624265636,45.886182801612954,False,6.425828741052153,0.7607322155282793,False,1.1935994900097433,-2.992406269970355,0.15581600267383372,False,3.8641930704514307,0.3866278982891596,False,False,False,Clinical AE
Musculoskeletal chest pain,2,414,1366,1808353,1368,6.395318324244418,1.5924612167962093,25.68357460579242,False,6.369379293839397,4.475520425199669,False,1.6181366786284557,-1.9896947118844406,0.31438981070472644,False,4.986390480355778,1.1897501656500176,False,False,False,Clinical AE
Erythema multiforme,1,415,689,1809030,690,6.326717610645776,0.8878085681259817,45.085570428033364,False,6.313913001004801,0.7355761030985587,False,1.1875454595867996,-2.992357555124432,0.15857380803089272,False,3.7977835745020316,0.3799833638735024,False,False,False,Clinical AE
Incorrect drug administration rate,1,415,711,1809008,712,6.130879636690221,0.8603650275754806,43.688067174819246,False,6.118545791409716,0.6919000906599608,False,1.1765119579384158,-2.9923116705784953,0.16362978451883423,False,3.6817801906059544,0.3683767635581275,False,False,False,Clinical AE
Oropharyngeal discomfort,2,414,1429,1808290,1431,6.113156391246877,1.5222695835369124,24.549318641060765,False,6.0885739085966515,4.174772070144248,False,1.5927133210446411,-1.9912714015098423,0.3288682888292862,False,4.768121955801283,1.1376714096304195,False,False,False,Clinical AE
Pelvic fracture,1,415,748,1808971,749,5.827495006765028,0.817845791311183,41.52335124134664,False,5.815890451460305,0.6249003159203226,False,1.1581438194644647,-2.9923576726064263,0.1721330177030995,False,3.5018842842917817,0.35037746204782627,False,False,False,Clinical AE
Intraocular pressure increased,1,415,813,1808906,814,5.3613894693163795,0.7525100039642635,38.19815934707712,False,5.350905360015139,0.5238170803234173,False,1.1264311316978168,-2.9927945313264073,0.18707113005383577,False,3.2250549106888533,0.3226795812873545,False,False,False,Clinical AE
