PT,Signal category,a (n cases),ROR,ROR 95% CI lower,ROR 95% CI upper,IC,IC025
Stomatitis,Clinical AE,64,59.115,45.234,77.257,5.171,3.029
Interstitial lung disease,Clinical AE,16,15.2,9.214,25.073,3.371,1.026
Dry eye,Clinical AE,13,7.627,4.388,13.256,2.582,0.548
Infusion related reaction,Clinical AE,14,7.338,4.305,12.508,2.555,0.608
Disease progression,Administrative/case-context,86,44.123,34.776,55.983,4.868,3.197
Prescribed underdose,Administrative/case-context,9,19.292,9.952,37.397,3.28,0.277
No adverse event,Administrative/case-context,42,10.231,7.434,14.079,3.08,1.746
Off label use,Administrative/case-context,66,2.559,1.967,3.328,1.194,0.565
