pt,comparator,a_dato_cases,b_dato_without_pt,c_comparator_cases,d_comparator_without_pt,n_dato,n_comparator,ror,ror_ci_lower,ror_ci_upper,prr,chi2_yates,ic,ic025,expected_count,ebgm,eb05,ror_signal,prr_signal,bcpnn_signal,mgps_signal,consensus_signal,four_algorithm_signal
Hyponatraemia,trastuzumab_deruxtecan_alone,1,181,4,1626,182,1630,2.24585635359116,0.24966507501073626,20.202548397083103,2.239010989010989,0.0,0.5817812534764762,-3.0663278361628743,0.5022075055187638,2.549369000688294,0.7603066711789708,False,False,False,False,False,False
Vision blurred,trastuzumab_deruxtecan_alone,1,181,4,1626,182,1630,2.24585635359116,0.24966507501073626,20.202548397083103,2.239010989010989,0.0,0.5817812534764762,-3.0663278361628743,0.5022075055187638,2.549369000688294,0.7603066711789708,False,False,False,False,False,False
Cataract,trastuzumab_deruxtecan_alone,1,181,4,1626,182,1630,2.24585635359116,0.24966507501073626,20.202548397083103,2.239010989010989,0.0,0.5817812534764762,-3.0663278361628743,0.5022075055187638,2.549369000688294,0.7603066711789708,False,False,False,False,False,False
Hepatic function abnormal,trastuzumab_deruxtecan_alone,3,179,13,1617,182,1630,2.0846583584013754,0.5884531605754183,7.385125550185134,2.066779374471682,0.5564548352504206,0.7321207746999014,-1.7334954549586048,1.6070640176600441,2.128685616015256,0.8990355933580539,False,False,False,False,False,False
Cough,trastuzumab_deruxtecan_alone,5,177,22,1608,182,1630,2.0647149460708785,0.7722976357687782,5.519954498222503,2.0354645354645355,1.3304153185578145,0.7759954208878861,-1.2097511555732565,2.7119205298013247,2.012911765266894,0.997231598045328,False,False,False,False,False,False
Pulmonary toxicity,trastuzumab_deruxtecan_alone,2,180,9,1621,182,1630,2.0012345679012347,0.4290607826791776,9.334201487152608,1.9902319902319903,0.15805886084633752,0.6394837810140032,-2.220683879877386,1.1048565121412803,2.1780675486520376,0.8057330916438158,False,False,False,False,False,False
Dehydration,trastuzumab_deruxtecan_alone,2,180,10,1620,182,1630,1.8,0.39132669050884705,8.279527255825526,1.7912087912087913,0.08063581204072008,0.5519042121418606,-2.2564950608210634,1.205298013245033,2.03786353012092,0.7538673828039419,False,False,False,False,False,False
Hypoaesthesia,trastuzumab_deruxtecan_alone,1,181,5,1625,182,1630,1.7955801104972375,0.20862218028206914,15.4542912400498,1.7912087912087913,0.0,0.443988872974973,-3.103116883126291,0.6026490066225165,2.28199903903231,0.6805680513616643,False,False,False,False,False,False
Mucosal inflammation,trastuzumab_deruxtecan_alone,1,181,5,1625,182,1630,1.7955801104972375,0.20862218028206914,15.4542912400498,1.7912087912087913,0.0,0.443988872974973,-3.103116883126291,0.6026490066225165,2.28199903903231,0.6805680513616643,False,False,False,False,False,False
Palpitations,trastuzumab_deruxtecan_alone,1,181,5,1625,182,1630,1.7955801104972375,0.20862218028206914,15.4542912400498,1.7912087912087913,0.0,0.443988872974973,-3.103116883126291,0.6026490066225165,2.28199903903231,0.6805680513616643,False,False,False,False,False,False
Renal impairment,trastuzumab_deruxtecan_alone,1,181,6,1624,182,1630,1.4953959484346224,0.17902764539769955,12.490858814721461,1.4926739926739927,0.0,0.3182173211031024,-3.142499982054206,0.7030905077262694,2.065387558976216,0.615967299843883,False,False,False,False,False,False
Renal failure,trastuzumab_deruxtecan_alone,1,181,6,1624,182,1630,1.4953959484346224,0.17902764539769955,12.490858814721461,1.4926739926739927,0.0,0.3182173211031024,-3.142499982054206,0.7030905077262694,2.065387558976216,0.615967299843883,False,False,False,False,False,False
Insomnia,trastuzumab_deruxtecan_alone,1,181,6,1624,182,1630,1.4953959484346224,0.17902764539769955,12.490858814721461,1.4926739926739927,0.0,0.3182173211031024,-3.142499982054206,0.7030905077262694,2.065387558976216,0.615967299843883,False,False,False,False,False,False
Pyrexia,trastuzumab_deruxtecan_alone,6,176,41,1589,182,1630,1.3212305986696231,0.5531154827894138,3.1560322377117536,1.3106405789332618,0.14679999024601545,0.3161824899605695,-1.3456420659472896,4.72075055187638,1.4130999798364194,0.7381715695397912,False,False,False,False,False,False
Myalgia,trastuzumab_deruxtecan_alone,1,181,7,1623,182,1630,1.2809786898184687,0.15671511068120272,10.47063296344824,1.2794348508634223,0.0,0.2025364913702339,-3.1833850490339626,0.8035320088300221,1.8863333796147579,0.5625673851849076,False,False,False,False,False,False
Pain in extremity,trastuzumab_deruxtecan_alone,1,181,7,1623,182,1630,1.2809786898184687,0.15671511068120272,10.47063296344824,1.2794348508634223,0.0,0.2025364913702339,-3.1833850490339626,0.8035320088300221,1.8863333796147579,0.5625673851849076,False,False,False,False,False,False
Dyspnoea,trastuzumab_deruxtecan_alone,7,175,58,1572,182,1630,1.0841379310344827,0.4873081090225397,2.4119341167240145,1.0809018567639257,0.0,0.09363321511110483,-1.3908520524601924,6.52869757174393,1.1871309014143385,0.6472224588770757,False,False,False,False,False,False
Erythema,trastuzumab_deruxtecan_alone,1,181,9,1621,182,1630,0.9950890116635973,0.12534984628919532,7.899508219971281,0.9951159951159951,0.0,-0.004240106037818307,-3.2669699340241443,1.0044150110375276,1.607598950707849,0.4794395030587944,False,False,False,False,False,False
Fall,trastuzumab_deruxtecan_alone,1,181,10,1620,182,1630,0.8950276243093923,0.1139156257844451,7.0321735298433445,0.8956043956043956,0.0,-0.09748181315220304,-3.308831830780909,1.1048565121412803,1.4969969257222628,0.44645429871225184,False,False,False,False,False,False
