pt,comparator,a_dato_cases,b_dato_without_pt,c_comparator_cases,d_comparator_without_pt,n_dato,n_comparator,ror,ror_ci_lower,ror_ci_upper,prr,chi2_yates,ic,ic025,expected_count,ebgm,eb05,ror_signal,prr_signal,bcpnn_signal,mgps_signal,consensus_signal,four_algorithm_signal
Stomatitis,sacituzumab_govitecan_alone,40,142,1,347,182,348,97.74647887323944,13.309063619773601,717.8847742467383,76.48351648351648,75.76369400746874,1.4740058697197824,0.6103721953987632,14.079245283018867,2.7135186568884744,2.1082541044684917,True,True,True,True,True,True
Off label use,sacituzumab_govitecan_alone,19,163,2,346,182,348,20.165644171779142,4.641709243315733,87.60850444228248,18.164835164835164,28.02374459899841,1.3384242402921511,0.13554028689810882,7.211320754716981,2.466737651276692,1.7385419382133138,True,True,True,False,True,False
Disease progression,sacituzumab_govitecan_alone,78,104,51,297,182,348,4.367647058823529,2.876437117932138,6.631933898893555,2.92436974789916,50.092005872205036,0.809254683405261,0.2797812965421298,44.29811320754717,1.770565398990952,1.4725321017653539,True,True,True,False,True,False
Prescribed underdose,sacituzumab_govitecan_alone,9,173,0,348,182,348,38.164265129682995,2.2082662401350728,659.5722501285203,36.23497267759563,13.962428171042951,1.4037162166201251,-0.34801133724577005,3.090566037735849,2.4971936136995563,1.56855327290296,True,True,False,False,False,False
Dry eye,sacituzumab_govitecan_alone,8,174,0,348,182,348,33.9512893982808,1.9482316099911567,591.6596599164342,32.42076502732241,12.045895062313296,1.3882800086606975,-0.4564604401978787,2.7471698113207546,2.4693643413119784,1.5222376673984512,True,True,False,False,False,False
Carcinoembryonic antigen increased,sacituzumab_govitecan_alone,4,178,0,348,182,348,17.571428571428573,0.9407429876407466,328.2034584335638,17.16393442622951,4.651318701943132,1.2641236433645002,-1.194429225346968,1.3735849056603773,2.307055258767373,1.2790309226292644,False,True,False,False,False,False
No adverse event,sacituzumab_govitecan_alone,4,178,0,348,182,348,17.571428571428573,0.9407429876407466,328.2034584335638,17.16393442622951,4.651318701943132,1.2641236433645002,-1.194429225346968,1.3735849056603773,2.307055258767373,1.2790309226292644,False,True,False,False,False,False
Underdose,sacituzumab_govitecan_alone,4,178,0,348,182,348,17.571428571428573,0.9407429876407466,328.2034584335638,17.16393442622951,4.651318701943132,1.2641236433645002,-1.194429225346968,1.3735849056603773,2.307055258767373,1.2790309226292644,False,True,False,False,False,False
Tumour marker increased,sacituzumab_govitecan_alone,3,179,0,348,182,348,13.590529247910863,0.6981408222969241,264.5633650681515,13.349726775956285,2.9442093441341877,1.1936453672908927,-1.5467689862532839,1.030188679245283,2.24602299399664,1.1973590453433471,False,False,False,False,False,False
Keratitis,sacituzumab_govitecan_alone,3,179,0,348,182,348,13.590529247910863,0.6981408222969241,264.5633650681515,13.349726775956285,2.9442093441341877,1.1936453672908927,-1.5467689862532839,1.030188679245283,2.24602299399664,1.1973590453433471,False,False,False,False,False,False
Osteonecrosis of jaw,sacituzumab_govitecan_alone,3,179,0,348,182,348,13.590529247910863,0.6981408222969241,264.5633650681515,13.349726775956285,2.9442093441341877,1.1936453672908927,-1.5467689862532839,1.030188679245283,2.24602299399664,1.1973590453433471,False,False,False,False,False,False
Cerebral haemorrhage,sacituzumab_govitecan_alone,2,180,0,348,182,348,9.653739612188366,0.4609854783722669,202.16404392824663,9.53551912568306,1.3921070951153227,1.0748604374586348,-2.077221969010206,0.6867924528301886,2.1713116391931724,1.1033574172391403,False,False,False,False,False,False
Lacrimation increased,sacituzumab_govitecan_alone,2,180,0,348,182,348,9.653739612188366,0.4609854783722669,202.16404392824663,9.53551912568306,1.3921070951153227,1.0748604374586348,-2.077221969010206,0.6867924528301886,2.1713116391931724,1.1033574172391403,False,False,False,False,False,False
Catheter site infection,sacituzumab_govitecan_alone,2,180,0,348,182,348,9.653739612188366,0.4609854783722669,202.16404392824663,9.53551912568306,1.3921070951153227,1.0748604374586348,-2.077221969010206,0.6867924528301886,2.1713116391931724,1.1033574172391403,False,False,False,False,False,False
Ocular hyperaemia,sacituzumab_govitecan_alone,2,180,0,348,182,348,9.653739612188366,0.4609854783722669,202.16404392824663,9.53551912568306,1.3921070951153227,1.0748604374586348,-2.077221969010206,0.6867924528301886,2.1713116391931724,1.1033574172391403,False,False,False,False,False,False
Pulmonary toxicity,sacituzumab_govitecan_alone,2,180,0,348,182,348,9.653739612188366,0.4609854783722669,202.16404392824663,9.53551912568306,1.3921070951153227,1.0748604374586348,-2.077221969010206,0.6867924528301886,2.1713116391931724,1.1033574172391403,False,False,False,False,False,False
Dry skin,sacituzumab_govitecan_alone,2,180,0,348,182,348,9.653739612188366,0.4609854783722669,202.16404392824663,9.53551912568306,1.3921070951153227,1.0748604374586348,-2.077221969010206,0.6867924528301886,2.1713116391931724,1.1033574172391403,False,False,False,False,False,False
