pt,comparator,a_dato_cases,b_dato_without_pt,c_comparator_cases,d_comparator_without_pt,n_dato,n_comparator,ror,ror_ci_lower,ror_ci_upper,prr,chi2_yates,ic,ic025,expected_count,ebgm,eb05,ror_signal,prr_signal,bcpnn_signal,mgps_signal,consensus_signal,four_algorithm_signal
Dysphonia,active_breast_comparator,1,181,6,4101,182,4107,3.776243093922652,0.45224109298624726,31.531880064760447,3.7609890109890114,0.14506171356646727,0.9122403913702591,-3.0072480698999917,0.2970389368151084,3.462869652196645,0.7605606556249712,False,False,False,False,False,False
Therapy non-responder,active_breast_comparator,1,181,6,4101,182,4107,3.776243093922652,0.45224109298624726,31.531880064760447,3.7609890109890114,0.14506171356646727,0.9122403913702591,-3.0072480698999917,0.2970389368151084,3.462869652196645,0.7605606556249712,False,False,False,False,False,False
Amnesia,active_breast_comparator,1,181,6,4101,182,4107,3.776243093922652,0.45224109298624726,31.531880064760447,3.7609890109890114,0.14506171356646727,0.9122403913702591,-3.0072480698999917,0.2970389368151084,3.462869652196645,0.7605606556249712,False,False,False,False,False,False
Infusion related reaction,active_breast_comparator,8,174,51,4056,182,4107,3.656524678837052,1.7089649446482669,7.823550020036373,3.539754363283775,10.558242984303522,1.5007634698455043,-0.39732409253288714,2.5036138960130567,3.2088426581573164,1.7640485236026109,True,True,False,False,False,False
Malaise,active_breast_comparator,7,175,45,4062,182,4107,3.6106666666666665,1.6052764134762378,8.121289061705111,3.5102564102564107,8.831165222959637,1.47042225124131,-0.5346497086904192,2.2065749591979484,3.1889184308281338,1.6827525155731795,True,True,False,False,False,False
Dry skin,active_breast_comparator,2,180,13,4094,182,4107,3.499145299145299,0.7837442576466677,15.622465753427655,3.4716821639898567,1.2276056440825502,1.137315168309384,-2.0616985663415095,0.6365120074609466,3.2132678373986465,1.0159202741238353,False,False,False,False,False,False
Oedema peripheral,active_breast_comparator,2,180,13,4094,182,4107,3.499145299145299,0.7837442576466677,15.622465753427655,3.4716821639898567,1.2276056440825502,1.137315168309384,-2.0616985663415095,0.6365120074609466,3.2132678373986465,1.0159202741238353,False,False,False,False,False,False
Hepatic enzyme increased,active_breast_comparator,2,180,15,4092,182,4107,3.031111111111111,0.6879517399133894,13.355056808284145,3.0087912087912088,0.8811354731199466,1.033415643441498,-2.0882557216611914,0.7213802751224061,2.885749037107301,0.9123705527155936,False,False,False,False,False,False
Therapy cessation,active_breast_comparator,1,181,8,4099,182,4107,2.830801104972376,0.35216428452634435,22.754819974690992,2.8207417582417587,0.03821488670172056,0.766263734252613,-3.0280737353615153,0.38190720447656795,2.866947362218981,0.6296764199797051,False,False,False,False,False,False
Infusion related hypersensitivity reaction,active_breast_comparator,1,181,8,4099,182,4107,2.830801104972376,0.35216428452634435,22.754819974690992,2.8207417582417587,0.03821488670172056,0.766263734252613,-3.0280737353615153,0.38190720447656795,2.866947362218981,0.6296764199797051,False,False,False,False,False,False
Pulmonary toxicity,active_breast_comparator,2,180,17,4090,182,4107,2.673202614379085,0.6129358685880237,11.65866215985194,2.6548157724628316,0.6261788412811878,0.9364986671251629,-2.1162866790119566,0.8062485427838657,2.6188204815951575,0.8279772979326642,False,False,False,False,False,False
Pruritus,active_breast_comparator,4,178,36,4071,182,4107,2.541198501872659,0.8947411087602665,7.217383623814355,2.5073260073260077,2.0180910363628035,1.0341502366106077,-1.293004239939547,1.697365353229191,2.430124779763216,1.0499482349890426,False,False,False,False,False,False
Hepatic function abnormal,active_breast_comparator,3,179,27,4080,182,4107,2.532588454376164,0.7611458770767854,8.426773989596732,2.5073260073260073,1.2436989804174874,0.981142844944473,-1.6254257222359072,1.2730240149218932,2.454631568852887,0.9394351806065631,False,False,False,False,False,False
Hyponatraemia,active_breast_comparator,1,181,9,4098,182,4107,2.5156537753222836,0.3170026558035515,19.96359904699056,2.5073260073260077,0.014120402330817116,0.6984648909939863,-3.0406230209985825,0.42434133830729776,2.639806348773555,0.5797887443070768,False,False,False,False,False,False
Oral pain,active_breast_comparator,1,181,9,4098,182,4107,2.5156537753222836,0.3170026558035515,19.96359904699056,2.5073260073260077,0.014120402330817116,0.6984648909939863,-3.0406230209985825,0.42434133830729776,2.639806348773555,0.5797887443070768,False,False,False,False,False,False
Posterior reversible encephalopathy syndrome,active_breast_comparator,1,181,9,4098,182,4107,2.5156537753222836,0.3170026558035515,19.96359904699056,2.5073260073260077,0.014120402330817116,0.6984648909939863,-3.0406230209985825,0.42434133830729776,2.639806348773555,0.5797887443070768,False,False,False,False,False,False
Cough,active_breast_comparator,5,177,48,4059,182,4107,2.3887711864406778,0.9394161448633637,6.074227925898764,2.350618131868132,2.3822520433261047,1.0005199397072444,-1.0881127383074627,2.249009093028678,2.285101571700064,1.0752754689131976,False,False,False,False,False,False
